Date,Campaign name,Ad group name,Spend in account currency,Impressions,Reach,Outbound clicks,Saves,Engagements,Total conversions (Checkout),Total order value (Checkout)
2026-06-22,Awareness_22.6.26,Awareness_Ad Group,0.12,28,27,0,0,0,0,0
2026-06-22,Awareness_22.6.26,Awareness_Ad Group,0.25,56,51,0,0,0,0,0
2026-06-22,Awareness_22.6.26,Awareness_Ad Group,0.20,42,41,0,0,0,0,0
2026-06-22,Awareness_22.6.26,Awareness_Ad Group,0.10,21,20,0,0,0,0,0
2026-06-22,Awareness_22.6.26,Awareness_Ad Group,0.30,67,63,0,0,0,0,0
2026-06-22,Awareness_22.6.26,Awareness_Ad Group,0.06,14,14,0,0,0,0,0
2026-06-22,Awareness_22.6.26,Awareness_Ad Group,2.42,591,546,0,0,0,0,0
2026-06-22,Awareness_22.6.26,Awareness_Ad Group,0.14,34,34,0,0,0,0,0
2026-06-22,Awareness_22.6.26,Awareness_Ad Group,0.64,156,151,0,0,0,0,0
2026-06-22,Awareness_22.6.26,Awareness_Ad Group,0.06,14,14,0,0,0,0,0
2026-06-22,Awareness_22.6.26,Awareness_Ad Group,0.83,211,203,0,0,1,0,0
2026-06-22,Awareness_22.6.26,Awareness_Ad Group,0.27,76,74,0,0,0,0,0
2026-06-22,Awareness_22.6.26,Awareness_Ad Group,0.40,97,90,0,0,0,0,0
2026-06-23,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,0.58,76,66,0,0,0,0,0
2026-06-23,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,1.52,72,67,0,0,0,1,59.96
2026-06-23,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,0.15,53,43,0,0,0,0,0
2026-06-23,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,0.14,21,21,0,0,0,0,0
2026-06-23,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,0.57,35,30,0,0,3,0,0
2026-06-23,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,0.25,61,58,0,0,0,0,0
2026-06-23,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,0.02,10,10,0,0,0,0,0
2026-06-23,Conversions Campaign | 2026-06-14,Conversions Audience list ad group | 2026-06-14 20:56 UTC,0.04,9,8,0,0,0,0,0
2026-06-23,Conversions Campaign | 2026-06-14,Conversions Audience list ad group | 2026-06-14 20:56 UTC,0.23,16,16,0,0,0,0,0
2026-06-23,Conversions Campaign | 2026-06-14,Conversions Audience list ad group | 2026-06-14 20:56 UTC,0.10,24,21,0,0,0,0,0
2026-06-23,Conversions Campaign | 2026-06-14,Conversions Audience list ad group | 2026-06-14 20:56 UTC,0.15,12,12,0,0,0,0,0
2026-06-23,Conversions Campaign | 2026-06-14,Conversions Audience list ad group | 2026-06-14 20:56 UTC,0.19,9,9,0,0,0,0,0
2026-06-23,Conversions Campaign | 2026-06-14,Conversions Audience list ad group | 2026-06-14 20:56 UTC,0.13,48,43,2,0,2,0,0
2026-06-23,Conversions Campaign | 2026-06-14,Conversions Audience list ad group | 2026-06-14 20:56 UTC,0.08,15,12,0,0,0,0,0
2026-06-23,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,2.04,274,249,1,0,1,1,799.00
2026-06-23,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,0.18,17,16,0,0,0,0,0
2026-06-23,Conversions Campaign | 2026-06-14,Conversions Audience list ad group | 2026-06-14 20:56 UTC,0.79,89,69,2,1,3,0,0
2026-06-23,Conversions Campaign | 2026-06-14,Conversions Audience list ad group | 2026-06-14 20:56 UTC,0.09,10,10,0,0,0,0,0
2026-06-23,Awareness_22.6.26,Awareness_Ad Group,0.31,89,89,0,0,0,0,0
2026-06-23,Awareness_22.6.26,Awareness_Ad Group,0.54,156,147,0,0,0,0,0
2026-06-23,Awareness_22.6.26,Awareness_Ad Group,0.26,78,77,0,0,0,0,0
2026-06-23,Awareness_22.6.26,Awareness_Ad Group,0.59,178,170,0,0,0,0,0
2026-06-23,Awareness_22.6.26,Awareness_Ad Group,1.48,418,388,0,0,0,0,0
2026-06-23,Awareness_22.6.26,Awareness_Ad Group,4.09,660,633,0,0,2,0,0
2026-06-23,Awareness_22.6.26,Awareness_Ad Group,0.16,44,42,0,0,0,0,0
2026-06-23,Awareness_22.6.26,Awareness_Ad Group,0.90,242,230,0,0,0,0,0
2026-06-23,Awareness_22.6.26,Awareness_Ad Group,0.06,19,19,0,0,0,0,0
2026-06-23,Awareness_22.6.26,Awareness_Ad Group,0.37,110,106,0,0,0,0,0
2026-06-23,Awareness_22.6.26,Awareness_Ad Group,0.08,23,23,0,0,0,0,0
2026-06-23,Awareness_22.6.26,Awareness_Ad Group,4.52,1223,1097,0,1,3,0,0
